fraud_YN,car_model,sharing_type,age_group,has_previous_accident,cumulative_use_count,b2b,accident_ratio,pf_type,socarpass,socarsave,start_hour,duration,accident_hour,repair_cost,insure_cost,accident_location,car_part1,car_part2,repair_cnt,acc_type1,insurance_site_aid_YN,police_site_aid_YN,total_prsn_cnt,test_set
0,2,0,1,0,1,0,100,1,0,0,5,1,6,325659.4894,18855330,0,0,1,1,1,1,1,0,1
0,1,0,4,0,2,0,100,1,0,0,6,4,5,0,0,0,0,0,1,0,0,0,-1,0
0,1,0,4,0,3,0,100,1,0,0,1,1,1,0,3266020,1,1,0,1,1,1,1,1,0
0,1,0,2,0,4,0,90,3,0,0,6,2,6,331405.3489,13309840,0,0,0,1,1,1,1,1,0
1,1,0,3,0,3,0,100,3,0,0,2,4,1,0,0,0,1,0,1,0,0,0,-1,0
0,1,0,4,0,4,0,100,3,1,0,4,3,5,1633915.494,6517160,3,1,0,2,1,1,1,1,1
0,1,0,2,0,2,0,100,2,0,0,2,1,2,0,1149500,1,0,0,1,0,0,0,-1,0
0,1,0,2,1,4,0,100,1,1,1,2,2,2,2292749.354,0,1,1,0,2,0,0,0,-1,0
0,1,0,2,1,4,0,100,1,1,0,1,3,2,0,50000,0,0,1,2,1,1,1,1,1
0,2,0,3,1,4,0,100,1,1,1,2,1,1,0,0,1,0,0,1,1,1,1,0,1
0,2,1,3,0,2,0,100,2,0,0,4,2,6,0,1232680,1,0,1,1,0,0,0,-1,0
0,1,1,3,0,4,0,100,3,0,0,4,3,2,1484584.205,5336320,1,1,0,2,0,0,0,-1,0
0,1,0,2,0,1,0,100,2,0,0,2,2,2,403323.8412,700000,1,1,0,1,1,2,1,0,0
0,2,0,2,0,2,0,100,3,0,0,6,3,2,316313.7163,0,0,0,1,1,0,0,0,-1,1
0,1,1,5,0,2,0,30,2,0,0,2,1,2,0,189720,1,0,0,2,0,0,0,-1,0
0,1,0,4,0,4,0,100,2,1,1,4,3,4,270464.0697,3964540,1,1,0,2,0,0,0,-1,0
0,2,1,4,0,2,0,100,2,0,0,4,3,6,0,1738210,1,0,0,1,0,0,0,-1,0
0,2,0,3,0,4,0,100,3,1,0,1,1,1,418354.4169,0,4,0,1,2,0,0,0,-1,0
0,5,0,5,0,4,0,100,2,0,0,2,2,1,243976.5085,0,0,0,0,0,0,2,1,1,0
0,2,0,1,0,2,0,100,1,0,0,2,4,2,0,0,1,0,0,1,0,0,0,-1,0
0,2,0,2,0,2,0,100,2,0,0,5,2,5,0,0,0,0,1,1,0,0,0,-1,0
0,2,0,4,0,4,2,0,1,0,0,4,1,4,0,0,1,0,1,1,1,1,1,0,0
0,2,0,1,0,1,0,100,1,0,0,2,1,2,0,610000,1,0,0,0,1,1,1,1,1
0,2,0,1,0,2,0,100,2,1,0,2,3,1,616228.1425,0,1,0,0,1,0,0,0,-1,0
